"x"
0.503904933045915
0.0247952137663822
-1.34789664288231e-10
0.312180298946607
0.159119743388249
-5.72524220194783e-10
-5.3309932314247e-10
-3.04800566590432e-10
-1.05239245054416e-09
-1.18086986998598e-09
-1.08126924651158e-09
-1.1712529202345e-09
-7.19506012572758e-10
-8.74719278534242e-10
-1.45127664713634e-09
-2.05532804589307e-10
-1.57411991786589e-09
-2.01811259836586e-09
-2.33245320556389e-09
-3.06386097157259e-09
-3.26788771227773e-09
-2.83072679537805e-09
-2.38605453709279e-09
-2.91453833240915e-09
-2.26138006764372e-09
-3.02654295263235e-09
-3.17264833974826e-09
-3.51891368144045e-09
-3.06348633171058e-09
-3.92874785374008e-09
-4.20993650839322e-09
-4.84988658783115e-09
-5.28037728388786e-09
-4.71010431817712e-09
-5.14769090036794e-09
-6.169426456243e-09
-7.36981383096604e-09
-6.52311202493211e-09
-7.25986380559997e-09
-6.84050161160283e-09
-8.5535868890799e-09
-7.62627422257181e-09
-6.71851880067644e-09
-8.17764866447473e-09
-1.01288144897863e-08
-1.12888952337842e-08
-9.98852563101609e-09
-8.65937749916284e-09
-1.09898027723367e-08
